dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
low_volatility,0.01,120,396.10669962565106,404.2740783691406,11997.387369791666,461.40814208984375,996.7010294596354,503470.8125,11752.639973958334,6122.877766927083
low_volatility,0.1,120,332.3910624186198,333.57130940755206,1197.8422444661458,460.70960489908856,999.3491617838541,50580.466145833336,1199.4767659505208,1616.1324055989583
low_volatility,0.2,120,322.53065999348956,325.7206726074219,601.6958821614584,459.9805501302083,999.5810750325521,25664.655598958332,619.0893758138021,708.0301717122396
low_volatility,0.3,120,308.6188659667969,316.68223063151044,399.578369140625,459.33668009440106,999.5806477864584,17077.680338541668,431.64455159505206,486.55968221028644
low_volatility,0.4,120,293.3426920572917,313.07680257161456,300.9134012858073,458.6817118326823,999.7546997070312,12942.615885416666,340.9304504394531,377.02703857421875
low_volatility,0.5,120,278.9442545572917,307.18370564778644,239.6657460530599,458.14984130859375,999.7180989583334,10521.758463541666,284.65089925130206,306.0733947753906
low_volatility,0.6,120,263.55617268880206,301.55921427408856,200.30705769856772,457.14544677734375,999.7101440429688,8854.213541666666,249.86080423990884,258.8594156901042
low_volatility,0.7,120,253.60687764485678,295.1019795735677,171.29520161946616,457.1779378255208,999.7914021809896,7608.591959635417,225.43748982747397,223.6117197672526
low_volatility,0.8,120,247.1067911783854,292.2585042317708,149.9676971435547,456.57757568359375,999.8326416015625,6744.902669270833,206.0904744466146,198.55101013183594
low_volatility,0.9,120,233.59085591634116,291.0768127441406,133.22319539388022,455.0241190592448,999.762939453125,6013.083821614583,191.23470052083334,178.4278564453125
low_volatility,1.0,120,224.04800923665366,282.99036661783856,119.73866017659505,454.7918294270833,999.8127848307291,5486.76123046875,179.72503153483072,162.74801635742188
