dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
sparse_spike,0.01,120,397.85570271809894,425.2615661621094,12046.4482421875,537.3892008463541,999.1084798177084,500259.2708333333,11892.841796875,7229.616861979167
sparse_spike,0.1,120,334.5829671223958,335.9572448730469,1199.3735758463542,536.4935913085938,1001.3033040364584,50415.063802083336,1189.1298421223958,1598.9139811197917
sparse_spike,0.2,120,326.1713053385417,327.7787272135417,598.7525838216146,536.0548502604166,1002.1510620117188,25632.1015625,621.5154012044271,703.4298299153646
sparse_spike,0.3,120,312.10378011067706,320.5667419433594,400.46581013997394,535.3907470703125,1002.2828776041666,17218.215494791668,433.21888224283856,489.97265625
sparse_spike,0.4,120,296.94293212890625,319.47960408528644,299.46300252278644,534.7004191080729,1002.3572794596354,13027.978515625,340.9807434082031,377.2889912923177
sparse_spike,0.5,120,281.7598470052083,308.1258951822917,240.94241841634116,534.5021362304688,1002.3460489908854,10501.537760416666,286.77391560872394,305.3299255371094
sparse_spike,0.6,120,267.7045186360677,305.8041178385417,200.25764973958334,534.5899658203125,1002.3774617513021,8807.078450520834,251.97565714518228,258.3656412760417
sparse_spike,0.7,120,257.6861114501953,298.2049560546875,171.61041768391928,532.8168538411459,1002.3761800130209,7618.07421875,225.8650360107422,224.58402506510416
sparse_spike,0.8,120,254.73759969075522,298.2299397786458,150.0365193684896,532.2222900390625,1002.4121297200521,6750.36181640625,207.04685974121094,198.78960164388022
sparse_spike,0.9,120,236.99229939778647,294.15318806966144,133.29329427083334,531.2802734375,1002.3815104166666,6032.532877604167,192.4401092529297,178.89640299479166
sparse_spike,1.0,120,231.65120951334634,285.14646402994794,120.06153869628906,531.8271687825521,1002.41455078125,5485.58154296875,181.28107198079428,163.07928975423178
