DATE,LNU03000018
2001-07-01,309
2001-08-01,283
2001-09-01,231
2001-10-01,256
2001-11-01,276
2001-12-01,250
2002-01-01,229
2002-02-01,243
2002-03-01,276
2002-04-01,273
2002-05-01,239
2002-06-01,357
2002-07-01,290
2002-08-01,282
2002-09-01,234
2002-10-01,191
2002-11-01,251
2002-12-01,250
2003-01-01,210
2003-02-01,226
2003-03-01,257
2003-04-01,219
2003-05-01,270
2003-06-01,401
2003-07-01,372
2003-08-01,239
2003-09-01,249
2003-10-01,261
2003-11-01,190
2003-12-01,161
2004-01-01,221
2004-02-01,151
2004-03-01,212
2004-04-01,161
2004-05-01,226
2004-06-01,347
2004-07-01,411
2004-08-01,258
2004-09-01,197
2004-10-01,266
2004-11-01,244
2004-12-01,201
2005-01-01,204
2005-02-01,202
2005-03-01,267
2005-04-01,259
2005-05-01,300
2005-06-01,371
2005-07-01,376
2005-08-01,319
2005-09-01,224
2005-10-01,232
2005-11-01,303
2005-12-01,150
2006-01-01,204
2006-02-01,239
2006-03-01,296
2006-04-01,224
2006-05-01,206
2006-06-01,347
2006-07-01,404
2006-08-01,264
2006-09-01,247
2006-10-01,220
2006-11-01,220
2006-12-01,168
2007-01-01,210
2007-02-01,209
2007-03-01,189
2007-04-01,228
2007-05-01,230
2007-06-01,368
2007-07-01,292
2007-08-01,259
2007-09-01,198
2007-10-01,192
2007-11-01,214
2007-12-01,235
2008-01-01,262
2008-02-01,222
2008-03-01,229
2008-04-01,165
2008-05-01,259
2008-06-01,314
2008-07-01,369
2008-08-01,272
2008-09-01,213
2008-10-01,239
2008-11-01,199
2008-12-01,202
2009-01-01,259
2009-02-01,262
2009-03-01,207
2009-04-01,239
2009-05-01,290
2009-06-01,395
2009-07-01,380
2009-08-01,260
2009-09-01,253
2009-10-01,269
2009-11-01,337
2009-12-01,303
2010-01-01,299
2010-02-01,262
2010-03-01,262
2010-04-01,221
2010-05-01,266
2010-06-01,351
2010-07-01,361
2010-08-01,332
2010-09-01,268
2010-10-01,314
2010-11-01,301
2010-12-01,250
2011-01-01,282
2011-02-01,212
2011-03-01,245
2011-04-01,241
2011-05-01,260
2011-06-01,360
2011-07-01,306
2011-08-01,324
2011-09-01,266
2011-10-01,216
2011-11-01,238
2011-12-01,254
2012-01-01,244
2012-02-01,215
2012-03-01,239
2012-04-01,216
2012-05-01,239
2012-06-01,402
2012-07-01,372
2012-08-01,293
2012-09-01,259
2012-10-01,293
2012-11-01,266
2012-12-01,228
2013-01-01,258
2013-02-01,284
2013-03-01,207
2013-04-01,241
2013-05-01,308
2013-06-01,433
2013-07-01,399
2013-08-01,306
2013-09-01,245
2013-10-01,227
2013-11-01,225
2013-12-01,204
2014-01-01,234
2014-02-01,177
2014-03-01,197
2014-04-01,218
2014-05-01,214
2014-06-01,292
2014-07-01,295
2014-08-01,237
2014-09-01,203
2014-10-01,223
2014-11-01,198
2014-12-01,206
2015-01-01,191
2015-02-01,188
2015-03-01,137
2015-04-01,157
2015-05-01,212
2015-06-01,324
2015-07-01,273
2015-08-01,241
2015-09-01,211
2015-10-01,159
2015-11-01,150
2015-12-01,150
2016-01-01,166
2016-02-01,142
2016-03-01,162
2016-04-01,160
