dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
flu_deaths,0.01,120,328.82688395182294,343.96922810872394,12017.720052083334,483.78113810221356,156.54737345377603,204433.63541666666,11328.777994791666,10256.223307291666
flu_deaths,0.1,120,190.43643188476562,188.1897176106771,1204.1669921875,479.8279724121094,126.62669118245442,21009.384114583332,1181.5154622395833,1298.2046712239583
flu_deaths,0.2,120,187.5986531575521,174.5652313232422,596.4425048828125,488.00714111328125,127.0824712117513,10422.149739583334,596.8312377929688,962.2755126953125
flu_deaths,0.3,120,165.64855448404947,172.4990030924479,403.82216389973956,482.5842997233073,128.54741668701172,6787.0869140625,401.6230773925781,550.3464660644531
flu_deaths,0.4,120,175.93638610839844,181.78985087076822,299.8811747233073,479.47157796223956,126.85248311360677,5228.601888020833,307.39111328125,359.79175821940106
flu_deaths,0.5,120,153.81189473470053,176.74845377604166,236.60034688313803,478.33961995442706,128.3868662516276,4098.659423828125,248.00712076822916,286.9042053222656
flu_deaths,0.6,120,151.93560282389322,154.5602060953776,198.56918334960938,477.4864501953125,128.84518432617188,3373.907958984375,208.9830576578776,227.5725555419922
flu_deaths,0.7,120,161.2101033528646,141.38327026367188,171.27913411458334,481.61253865559894,128.57519022623697,2974.7889811197915,185.86856587727866,196.92007446289062
flu_deaths,0.8,120,153.30333455403647,149.45773315429688,149.46443684895834,476.30384318033856,128.5933583577474,2610.3528645833335,165.3115997314453,167.48668416341147
flu_deaths,0.9,120,138.11768086751303,165.08919779459634,131.7638905843099,474.85972086588544,128.5179646809896,2364.6611328125,145.3316853841146,146.61868286132812
flu_deaths,1.0,120,127.19481150309245,150.20431518554688,120.05581410725911,469.2272135416667,128.4057159423828,2077.9901123046875,131.59884643554688,137.15020751953125
