dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
unemp,0.01,120,1.144417981306712,1.6916929086049397,50.233707427978516,0.6089895764986674,0.8891647259394327,123.83002217610677,47.09981028238932,25.022919098536175
unemp,0.1,120,0.527629961570104,0.5225804348786672,5.068033218383789,0.601362427075704,0.9799323876698812,12.18491268157959,4.5801436106363935,9.097274025281271
unemp,0.2,120,0.2926746904850006,0.5285336375236511,2.367084582646688,0.6010919014612833,0.9803392887115479,6.75290044148763,2.3935251235961914,2.6195107301076255
unemp,0.3,120,0.3193903962771098,0.4036615292231242,1.6427011489868164,0.6324930588404337,0.9918719927469889,5.020490487416585,1.627022425333659,3.1299824714660645
unemp,0.4,120,0.3147058089574178,0.2877861062685649,1.231722076733907,0.6137207945187887,0.9887436628341675,3.809920310974121,1.2769932349522908,1.3758277893066406
unemp,0.5,120,0.2721031705538432,0.33661218484242755,1.0572179555892944,0.6045662562052408,0.9886691371599833,3.010887781778971,0.9537519017855326,1.0956090291341145
unemp,0.6,120,0.2973295251528422,0.25878046949704486,0.8285486896832784,0.5924016435941061,0.9966084361076355,2.6271647612253823,0.8600373069445292,0.8505326906840006
unemp,0.7,120,0.2766357858975728,0.30582888921101886,0.690558115641276,0.5892281333605448,0.9960671861966451,2.2825518449147544,0.7087747057278951,0.7344389955202738
unemp,0.8,120,0.2418284018834432,0.2649952570597331,0.6376040577888489,0.5688119530677795,0.9910274346669515,2.1427245140075684,0.579807182153066,0.7117230494817098
unemp,0.9,120,0.2599850247303645,0.2835277517636617,0.5332987904548645,0.5777749220530192,0.9945257902145386,1.924020806948344,0.528060108423233,0.5765005548795065
unemp,1.0,120,0.25080690781275433,0.2769338587919871,0.5132991472880045,0.594370166460673,0.9924336075782776,1.668652057647705,0.4888807435830434,0.5528473059336344
